contestant_id,name,first_name,last_name,nick_name,hometown,photo_url
114340,Mariel Sanders,Mariel,Sanders,,"Stephenville, TX",
96017,Ashlea Pierce,Ashlea,Pierce,,"Livingston, LA",
102814,Jill DeSouge,Jill,DeSouge,,"Tickfaw, LA",
113124,Brooke Barber,Brooke,Barber,,"Baton Rouge, LA",
113101,Hailey Thompson,Hailey,Thompson,,"Columbia, MS",
111327,Emily Tomlinson,Emily,Tomlinson,,"Edgewater, FL",
111406,Britney Lynd,Britney,Lynd,,"Springhill, LA",
107053,Amber Hutto,Amber,Hutto,,"North Zulch, TX",
102507,Breanna Smith,Breanna,Smith,,"Columbia, LA",
107257,Maggie Stewart,Maggie,Stewart,,"Sheridan, IL",
108112,Anna Williams,Anna,Williams,,"Colfax, LA",
112064,Avery Landry,Avery,Landry,,"Arnaudville, LA",
107595,Jakelyn Primrose,Jakelyn,Primrose,,"Eaglelake, TX",
95677,Amy Wilson,Amy,Wilson,,"Springtown, TX",
100377,Jenna Caldarola,Jenna,Caldarola,,"Stephenville, TX",
106777,Wregan Brown,Wregan,Brown,,"Piedmont, SD",
109976,Jaden Usher,Jaden,Usher,,"Stephenville, TX",
107554,KC-Gail Churchill,KC-Gail,Churchill,,"Waco, TX",
113090,Kathy Hanna,Kathy,Hanna,,"Cleburne, TX",
100205,Hailey Hall,Hailey,Hall,,"Stephenville, TX",
100159,Shelby Osceola-Moody,Shelby,Osceola-Moody,,"Marshall, TX",
109897,Chelsi Arnold,Chelsi,Arnold,,"Ranger, TX",
114309,Amy Ohrt,Amy,Ohrt,,"Victoria, TX",
106190,Kenzie Kelton,Kenzie,Kelton,,"Mayer, AZ",
114145,Hadassah Mullet,Hadassah,Mullet,,"Strasburg, OH",
100389,Abbie Williams,Abbie,Williams,,"Blossum, TX",
101617,Angie Green,Angie,Green,,"Timpson, TX",
102926,Rheagan Cotton,Rheagan,Cotton,,"Fairfield, TX",
113080,Adisyn Henderson,Adisyn,Henderson,,"Silsbee, TX",
113860,A.J. Porter,A.J.,Porter,,"Greenbrier, AR",
100726,Maci Ray,Maci,Ray,,"Mabank, TX",
100194,Jayme Marcrum,Jayme,Marcrum,,"Springtown, TX",
110457,Kirsten Riley,Kirsten,Riley,,"Lindale, TX",
110344,Claire Dale,Claire,Dale,,"Millsap, TX",
113072,Stephanie Braman,Stephanie,Braman,,"Refugio, TX",
102773,McKaitlin McKee,McKaitlin,McKee,,"Hockley, TX",
96054,K.L. Collmorgen,K.L.,Collmorgen,,"Cheyenne, WY",
102182,Taylor Lawson,Taylor,Lawson,,"New Waverly, TX",
113616,Mackenzie Floyed,Mackenzie,Floyed,,"Ville Platte, LA",
73583,Lanita Peirce,Lanita,Peirce,,"Wynnewood, OK",
73667,Lisa Lockhart,Lisa,Lockhart,,"Oelrichs, SD",/images/2020/11/5/13_Lockhart_Lisa_blue.png
73879,Ginger Greene,Ginger,Greene,,"Fort Lupton, CO",
73890,Ivy Hurst,Ivy,Hurst,,"Springer, OK",
